DAY-Time,colore,dimensione_cm,lavabo,all_inclusive,numero_cassetti,ante,forma_specchiera,type,illuminazione,RISPOSTA
03-Mar 08:23,white,60,interno,yes,2,no,rectangular,sospeso,senza_illuminazione,Y
03-Mar 08:23,light_brown,80,sovrapposto,yes,3,no,round,sospeso,barra_led,N
03-Mar 08:23,light_grey,100,interno,yes,2,no,round,sospeso,senza_illuminazione,N
03-Mar 08:23,light_brown,60,interno,no,2,no,round,a_terra,barra_led,Y
03-Mar 08:23,light_brown,100,sovrapposto,no,3,no,rectangular,a_terra,illuminazione_esterna,Y
03-Mar 08:24,black,60,sovrapposto,yes,1,no,round,sospeso,senza_illuminazione,Y
03-Mar 08:24,black,120,sovrapposto,no,3,no,round,a_terra,barra_led,N
03-Mar 08:24,light_grey,80,interno,no,4,no,rectangular,sospeso,senza_illuminazione,Y
03-Mar 08:25,white,120,interno,yes,1,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 08:25,white,60,interno,yes,0,yes,rectangular,a_terra,senza_illuminazione,N
03-Mar 10:31,black,100,interno,yes,1,yes,rectangular,a_terra,illuminazione_esterna,N
03-Mar 10:31,white,100,interno,no,2,no,round,a_terra,senza_illuminazione,Y
03-Mar 10:32,dark_grey,60,sovrapposto,yes,2,no,rectangular,a_terra,illuminazione_esterna,Y
03-Mar 10:32,black,100,interno,yes,2,no,rectangular,sospeso,illuminazione_esterna,N
03-Mar 10:32,white,80,sovrapposto,yes,4,no,rectangular,sospeso,illuminazione_esterna,Y
03-Mar 10:32,white,120,sovrapposto,yes,3,no,rectangular,a_terra,illuminazione_esterna,N
03-Mar 10:33,dark_grey,80,interno,no,0,yes,rectangular,sospeso,barra_led,Y
03-Mar 10:33,white,60,interno,yes,2,no,rectangular,sospeso,senza_illuminazione,Y
03-Mar 10:33,dark_grey,120,interno,yes,2,no,rectangular,a_terra,barra_led,N
03-Mar 10:33,dark_grey,80,interno,no,3,no,rectangular,a_terra,illuminazione_esterna,N
03-Mar 11:48,oak,60,interno,no,1,yes,rectangular,a_terra,illuminazione_esterna,Y
03-Mar 11:48,light_brown,100,sovrapposto,yes,1,no,rectangular,sospeso,barra_led,Y
03-Mar 11:48,white,100,interno,no,4,no,rectangular,a_terra,barra_led,Y
03-Mar 11:48,dark_grey,80,interno,no,2,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 11:49,white,100,sovrapposto,no,0,yes,round,sospeso,barra_led,Y
03-Mar 11:49,white,120,sovrapposto,yes,2,no,rectangular,sospeso,illuminazione_esterna,Y
03-Mar 11:49,light_grey,60,interno,no,2,no,round,a_terra,senza_illuminazione,N
03-Mar 11:49,dark_grey,60,sovrapposto,yes,1,no,round,sospeso,barra_led,Y
03-Mar 11:49,oak,60,interno,yes,2,no,rectangular,sospeso,senza_illuminazione,N
03-Mar 11:50,black,100,sovrapposto,no,0,no,round,a_terra,barra_led,N
03-Mar 13:12,oak,100,interno,yes,2,no,round,a_terra,senza_illuminazione,Y
03-Mar 13:12,dark_grey,100,interno,no,4,no,round,a_terra,senza_illuminazione,N
03-Mar 13:12,oak,80,interno,no,2,no,round,sospeso,barra_led,Y
03-Mar 13:13,oak,100,interno,no,2,no,rectangular,a_terra,illuminazione_esterna,Y
03-Mar 13:13,oak,60,sovrapposto,yes,1,no,rectangular,sospeso,senza_illuminazione,Y
03-Mar 13:13,dark_grey,100,interno,yes,1,no,rectangular,a_terra,barra_led,Y
03-Mar 13:14,white,120,sovrapposto,yes,3,no,rectangular,sospeso,barra_led,Y
03-Mar 13:14,oak,60,interno,no,2,no,round,a_terra,barra_led,Y
03-Mar 13:14,white,120,sovrapposto,yes,4,no,round,sospeso,illuminazione_esterna,Y
03-Mar 13:14,dark_grey,80,interno,yes,3,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 14:57,white,120,sovrapposto,yes,1,no,round,a_terra,senza_illuminazione,N
03-Mar 14:57,light_grey,80,sovrapposto,no,2,no,rectangular,sospeso,senza_illuminazione,N
03-Mar 14:58,light_grey,100,interno,no,3,no,rectangular,sospeso,senza_illuminazione,N
03-Mar 14:58,light_grey,80,sovrapposto,no,3,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 14:59,dark_grey,60,interno,no,2,no,round,a_terra,illuminazione_esterna,Y
03-Mar 14:59,white,80,interno,yes,3,no,rectangular,a_terra,senza_illuminazione,Y
03-Mar 14:59,black,60,sovrapposto,yes,1,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 15:00,white,80,interno,yes,1,no,round,a_terra,senza_illuminazione,N
03-Mar 15:00,light_brown,80,sovrapposto,no,2,no,round,a_terra,illuminazione_esterna,Y
03-Mar 15:00,light_grey,80,sovrapposto,yes,1,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 16:21,dark_grey,60,interno,yes,2,no,rectangular,sospeso,senza_illuminazione,Y
03-Mar 16:21,light_brown,100,interno,yes,3,no,rectangular,a_terra,barra_led,Y
03-Mar 16:21,black,80,sovrapposto,no,2,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 16:21,oak,60,interno,no,3,no,rectangular,sospeso,illuminazione_esterna,N
03-Mar 16:22,light_brown,80,interno,yes,3,no,rectangular,a_terra,barra_led,Y
03-Mar 16:22,light_grey,60,interno,no,2,no,rectangular,sospeso,senza_illuminazione,N
03-Mar 16:22,oak,100,sovrapposto,yes,0,no,round,a_terra,barra_led,Y
03-Mar 16:22,oak,60,sovrapposto,yes,1,no,rectangular,a_terra,barra_led,Y
03-Mar 16:23,light_grey,80,sovrapposto,no,3,no,round,sospeso,senza_illuminazione,Y
03-Mar 16:23,light_grey,120,sovrapposto,no,2,no,rectangular,a_terra,illuminazione_esterna,Y
03-Mar 18:05,oak,80,interno,no,2,no,round,sospeso,illuminazione_esterna,Y
03-Mar 18:05,oak,100,sovrapposto,no,2,no,round,a_terra,illuminazione_esterna,Y
03-Mar 18:05,oak,80,interno,yes,3,no,rectangular,sospeso,barra_led,Y
03-Mar 18:06,dark_grey,120,sovrapposto,yes,2,no,rectangular,sospeso,barra_led,Y
03-Mar 18:06,white,60,interno,yes,2,no,round,a_terra,barra_led,Y
03-Mar 18:07,light_brown,80,interno,no,2,no,round,sospeso,barra_led,Y
03-Mar 18:07,light_brown,80,sovrapposto,yes,2,no,rectangular,sospeso,senza_illuminazione,N
03-Mar 18:07,black,80,interno,yes,1,no,rectangular,sospeso,senza_illuminazione,N
03-Mar 18:07,white,60,interno,no,2,no,rectangular,a_terra,illuminazione_esterna,Y
03-Mar 18:07,dark_grey,80,interno,yes,3,no,round,sospeso,barra_led,Y
03-Mar 20:14,light_brown,60,sovrapposto,no,2,no,round,sospeso,senza_illuminazione,Y
03-Mar 20:14,dark_grey,60,interno,no,2,no,rectangular,sospeso,senza_illuminazione,Y
03-Mar 20:15,oak,100,sovrapposto,yes,2,no,rectangular,sospeso,barra_led,N
03-Mar 20:15,light_grey,100,sovrapposto,yes,4,no,rectangular,a_terra,barra_led,Y
03-Mar 20:15,light_grey,60,interno,no,2,no,round,sospeso,senza_illuminazione,Y
03-Mar 20:16,white,100,sovrapposto,no,4,no,rectangular,a_terra,illuminazione_esterna,N
